"id","game_name","console","game_type","finished","published_year","played_year","hours_played","perso_score","multiplayed"
173,Tales of Symphonia,GameCube,JRPG,true,2003,2008,30,85,false
174,Ristar,Megadrive,Action-Adventure|Platformer,false,1995,1996,20,80,false
175,AAAHH!!! Real Monsters,Megadrive,Action-Adventure|Platformer,false,1995,1996,15,68,false
176,Jurassic Park,Megadrive,Action-Adventure|Platformer,false,1994,1996,5,62,true
177,The Lost World: Jurassic Park,PS1,Action-Adventure|Platformer,false,1995,1996,5,62,true
178,M.U.S.H.A,Megadrive,Gunfight|Space Shooter,false,1990,1995,10,65,true
179,Street Fighter 2,Megadrive,Versus Fighting,false,1991,1995,20,67,true
180,Dragon Ball Z,Megadrive,Versus Fighting,false,1994,1996,10,68,true
181,Mortal Kombat,Megadrive,Versus Fighting,false,1992,1994,10,67,true
182,SSX,PS2,Sport,false,2000,2001,10,88,true
183,SSX Tricky,PS2,Sport,true,2001,2002,30,92,true
184,SSX 3,PS2,Sport,true,2003,2003,50,96,true
185,SSX On Tour,PS2,Sport,true,2005,2005,50,95,true
186,The Lord of the Rings: The Two Towers,PS2,Action-Adventure|Beat'em All,true,2002,2002,30,90,true
187,The Lord of the Rings: The Return of the King,PS2,Action-Adventure|Beat'em All,true,2003,2003,35,90,true
188,The Lord of the Rings: The Battle for Middle-earth,PC,STR,false,2003,2003,35,85,true
189,God of War,PS2,Beat'em All|Action-Adventure,true,2005,2020,10,86,false
190,God of War II: Divine Retribution,PS2,Beat'em All|Action-Adventure,true,2007,2020,10,90,false
191,FIFA: Road to World Cup 98,PS1,Sport,false,1998,1998,15,85,true
192,FIFA 2000,PC,Sport,false,2000,2000,20,75,false
193,FIFA 15,PS3,Sport,false,2014,2015,20,80,true
194,FIFA 16,PS4,Sport,false,2015,2016,20,80,true
195,PES5,PS2,Sport,false,2005,2005,20,75,true
196,Super Mario Bros.,NES,Platformer,true,1985,1993,20,82,true
197,Super Mario Bros. 2,NES,Platformer,true,1988,1995,15,83,true
198,Super Mario Bros. 3,NES,Platformer,true,1988,1995,20,90,true
199,New Super Mario Bros. Wii,Wii,Platformer,true,2008,2010,20,90,true
200,Super Mario Land,GameBoy,Platformer,true,1989,1993,5,65,true
201,Mario Kart: Double Dash,GameCube,Racing,true,2003,2003,30,90,true
202,Super Mario Kart,SNES,Racing,false,1992,2000,5,80,true
203,Mario Kart Wii,Wii,Racing,false,2008,2008,30,90,true
204,Mario Kart Deluxe,Switch,Racing,false,2017,2020,5,90,true
205,Mario Kart 64,N64,Racing,false,1996,2001,10,85,true
206,Super Mario 64,N64,Racing,false,1996,1996,15,92,true
207,Super Smash Bros. Melee,GameCube,Versus Fighting,true,2002,2002,30,92,true
208,Mario Party 5,GameCube,Party Game,true,2003,2003,50,89,true
209,Mario Party 3,N64,Party Game,true,2003,2003,50,92,true
210,Mario Tennis,GameCube,Sport,false,2004,2007,15,75,true
211,Paper Mario,GameCube,Action-Adventure|Platformer,false,2000,2009,10,80,true
212,Mario RPG,SNES,JRPG,false,1996,2000,15,82,false
213,Golden Eye,N64,FPS,false,1997,1998,40,92,true
214,Perfect Dark,N64,FPS,false,2000,2000,5,80,true
215,Rayman 2: The Great Escape,N64,Action-Adventure|Platformer,false,1999,2000,20,88,true
216,Rayman,GBA,Action-Adventure|Platformer,true,2000,2000,25,89,true
217,Rayman Origins,Wii,Action-Adventure|Platformer,false,2011,2011,20,89,true
218,Batman Returns,NES,Action-Adventure|Beat'em All,false,1989,1993,10,40,true
219,Pokemon Yellow: Special Pikachu Edition,GameBoy,Action-Adventure|JRPG,true,1997,1998,40,92,true
220,Pokemon Gold/Pokemon Silver,GameBoy,Action-Adventure|JRPG,true,1999,1999,40,95,true
221,Wii Sports,Wii,Sport,false,2006,2006,5,80,true
222,Pokemon Pinball,GBA,Puzzle,false,1999,2000,10,78,true
223,Monument Valley,Android,Puzzle,true,2014,2018,3,81,true
224,Monument Valley 2,Android,Puzzle,true,2017,2020,3,81,true
225,Polytopia,Android,STR,false,2016,2017,2,78,false
226,Cyberpunk 2077,PC,RPG|Open World,true,2020,2020,120,99,false
227,WatchDogs Legion,PC,Action-Adventure|Open World,true,2020,2020,50,95,true
228,Among Us,Android,Party game,false,2018,2020,7,70,true
229,Mario Galaxy,Switch,Platformer,false,2008,2020,20,94,true
230,Mario Sunshine,Switch,Platformer,false,2003,2020,10,75,true
231,Final Fantasy XII,Switch,JRPG,true,2006,2021,40,93,false
232,Hades,Switch,Action-Adventure|Hack&Clash,false,2020,2021,30,93,false
233,New Super Mario Bros U Deluxe,Switch,Platformer,false,2020,2021,25,90,true
234,Hyrule Warriors : Age of Calamity,Switch,Action-Adventure|Hack&Clash,false,2020,2021,15,90,true
235,Assassin's Creed Valhalla,PC,RPG|Open World,false,2020,2021,50,92,false
236,Demon's Souls,PS5,JRPG|Action-Adventure,false,2020,2022,20,90,false
237,Horizon Forbidden West,PS5,RPG|Open World,false,2022,2022,50,93,false
238,Star Wars Jedi Fallen Order,PC,RPG|Action-Adventure,true,2019,2020,25,89,false
