game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed
The Lord of the Rings: The Return of the King,PS2,Action-Adventure|Beat'em All,1,2003,2003,35,90,1
The Lord of the Rings: The Battle for Middle-earth,PC,STR,0,2003,2003,35,85,1
God of War,PS2,Beat'em All|Action-Adventure,1,2005,2020,10,86,0
God of War II: Divine Retribution,PS2,Beat'em All|Action-Adventure,1,2007,2020,10,90,0
FIFA: Road to World Cup 98,PS1,Sport,0,1998,1998,15,85,1
FIFA 2000,PC,Sport,0,2000,2000,20,75,0
FIFA 15,PS3,Sport,0,2014,2015,20,80,1
FIFA 16,PS4,Sport,0,2015,2016,20,80,1
PES5,PS2,Sport,0,2005,2005,20,75,1
Super Mario Bros.,NES,Platformer,1,1985,1993,20,82,1
Super Mario Bros. 2,NES,Platformer,1,1988,1995,15,83,1
Super Mario Bros. 3,NES,Platformer,1,1988,1995,20,90,1
New Super Mario Bros. Wii,Wii,Platformer,1,2008,2010,20,90,1
Super Mario Land,GameBoy,Platformer,1,1989,1993,5,65,1
Mario Kart: Double Dash,GameCube,Racing,1,2003,2003,30,90,1
Super Mario Kart,SNES,Racing,0,1992,2000,5,80,1
Mario Kart Wii,Wii,Racing,0,2008,2008,30,90,1
Mario Kart Deluxe,Switch,Racing,0,2017,2020,5,90,1
Mario Kart 64,N64,Racing,0,1996,2001,10,85,1
Super Mario 64,N64,Racing,0,1996,1996,15,92,1
Super Smash Bros. Melee,GameCube,Versus Fighting,1,2002,2002,30,92,1
Mario Party 5,GameCube,Party Game,1,2003,2003,50,89,1
Mario Party 3,N64,Party Game,1,2003,2003,50,92,1
Mario Tennis,GameCube,Sport,0,2004,2007,15,75,1
Paper Mario,GameCube,Action-Adventure|Platformer,0,2000,2009,10,80,1
Mario RPG,SNES,JRPG,0,1996,2000,15,82,0
Golden Eye,N64,FPS,0,1997,1998,40,92,1
Perfect Dark,N64,FPS,0,2000,2000,5,80,1
Rayman 2: The Great Escape,N64,Action-Adventure|Platformer,0,1999,2000,20,88,1
Rayman,GBA,Action-Adventure|Platformer,1,2000,2000,25,89,1
Rayman Origins,Wii,Action-Adventure|Platformer,0,2011,2011,20,89,1
Batman Returns,NES,Action-Adventure|Beat'em All,0,1989,1993,10,40,1
Pokemon Yellow: Special Pikachu Edition,GameBoy,Action-Adventure|JRPG,1,1997,1998,40,92,1
Pokemon Gold/Pokemon Silver,GameBoy,Action-Adventure|JRPG,1,1999,1999,40,95,1
Wii Sports,Wii,Sport,0,2006,2006,5,80,1
Pokemon Pinball,GBA,Puzzle,0,1999,2000,10,78,1
Monument Valley,Android,Puzzle,1,2014,2018,3,81,1
Monument Valley 2,Android,Puzzle,1,2017,2020,3,81,1
Polytopia,Android,STR,0,2016,2017,2,78,0
Cyberpunk 2077,PC,RPG|Open World,1,2020,2020,120,99,0
WatchDogs Legion,PC,Action-Adventure|Open World,1,2020,2020,50,95,1
Among Us,Android,Party game,0,2018,2020,7,70,1
Mario Galaxy,Switch,Platformer,0,2008,2020,20,94,1
Mario Sunshine,Switch,Platformer,0,2003,2020,10,75,1
Final Fantasy XII,Switch,JRPG,1,2006,2021,40,93,0
Hades,Switch,Action-Adventure|Hack&Clash,0,2020,2021,30,93,0
New Super Mario Bros U Deluxe,Switch,Platformer,0,2020,2021,25,90,1
Hyrule Warriors : Age of Calamity,Switch,Action-Adventure|Hack&Clash,0,2020,2021,15,90,1
Assassin's Creed Valhalla,PC,RPG|Open World,0,2020,2021,50,92,0
Demon's Souls,PS5,JRPG|Action-Adventure,0,2020,2022,20,90,0
Horizon Forbidden West,PS5,RPG|Open World,0,2022,2022,50,93,0
Star Wars Jedi Fallen Order,PC,RPG|Action-Adventure,1,2019,2020,25,89,0
